"filename", "language", "C++", "comment", "blank", "total"
"/home/diogop/N-Body_v2/src/gravitationalForce.cpp", "C++", 0, 0, 2, 2
"/home/diogop/N-Body_v2/src/main.cpp", "C++", -1, 6, 1, 6
"Total", "-", -1, 6, 3, 8
