"filename", "language", "C++", "comment", "blank", "total"
"/home/diogop/N-Body_v2/src/barnesHutTree.cpp", "C++", 67, 3, 15, 85
"/home/diogop/N-Body_v2/src/barnesHutTree.hpp", "C++", 17, 1, 9, 27
"/home/diogop/N-Body_v2/src/gravitationalForce.cpp", "C++", 62, 3, 19, 84
"/home/diogop/N-Body_v2/src/gravitationalForce.hpp", "C++", 9, 1, 4, 14
"/home/diogop/N-Body_v2/src/initialState.cpp", "C++", 29, 1, 8, 38
"/home/diogop/N-Body_v2/src/initialState.hpp", "C++", 8, 1, 5, 14
"/home/diogop/N-Body_v2/src/main.cpp", "C++", 29, 20, 20, 69
"/home/diogop/N-Body_v2/src/main.hpp", "C++", 13, 1, 6, 20
"/home/diogop/N-Body_v2/src/output.cpp", "C++", 30, 5, 5, 40
"/home/diogop/N-Body_v2/src/output.hpp", "C++", 9, 1, 4, 14
"/home/diogop/N-Body_v2/src/structures.cpp", "C++", 1, 1, 3, 5
"/home/diogop/N-Body_v2/src/structures.hpp", "C++", 55, 1, 10, 66
"Total", "-", 329, 39, 108, 476
